bag_id,origin,destination,is_mishandled,failure_point,processing_time_min
BAG00000,ATL,DXB,False,,91
BAG00001,LHR,DXB,False,,102
BAG00002,ORD,ATL,False,,119
BAG00003,ORD,DXB,False,,49
BAG00004,DXB,LAX,False,,40
BAG00005,JFK,LHR,False,,108
BAG00006,JFK,ATL,False,,61
BAG00007,ATL,LHR,False,,81
BAG00008,DXB,ORD,False,,83
BAG00009,JFK,ATL,False,,26
BAG00010,LHR,JFK,False,,23
BAG00011,JFK,LHR,False,,28
BAG00012,LAX,DXB,False,,111
BAG00013,ATL,LHR,False,,66
BAG00014,ORD,JFK,False,,23
BAG00015,LAX,ORD,False,,112
BAG00016,LAX,ORD,False,,93
BAG00017,DXB,ATL,False,,67
BAG00018,DXB,ATL,True,Sorting,99
BAG00019,LHR,LAX,False,,43
BAG00020,LAX,JFK,False,,60
BAG00021,LHR,DXB,False,,90
BAG00022,JFK,LAX,False,,107
BAG00023,ORD,ATL,False,,54
BAG00024,ORD,JFK,False,,60
BAG00025,ATL,JFK,False,,53
BAG00026,JFK,DXB,False,,105
BAG00027,ORD,ATL,False,,66
BAG00028,DXB,ORD,False,,109
BAG00029,DXB,ORD,False,,34
BAG00030,LAX,ORD,False,,70
BAG00031,JFK,LHR,False,,23
BAG00032,DXB,LHR,False,,34
BAG00033,ORD,DXB,False,,51
BAG00034,ORD,ATL,False,,85
BAG00035,LAX,DXB,False,,25
BAG00036,ATL,LHR,False,,103
BAG00037,DXB,ORD,False,,111
BAG00038,JFK,LAX,False,,46
BAG00039,DXB,JFK,False,,22
BAG00040,DXB,ORD,False,,56
BAG00041,JFK,ATL,False,,43
BAG00042,ORD,JFK,False,,81
BAG00043,JFK,ORD,False,,58
BAG00044,LAX,ATL,False,,75
BAG00045,JFK,ATL,False,,21
BAG00046,ATL,DXB,False,,20
BAG00047,ORD,LAX,False,,109
BAG00048,DXB,ATL,False,,75
BAG00049,ORD,JFK,False,,43
BAG00050,LHR,ATL,False,,105
BAG00051,ORD,JFK,False,,78
BAG00052,DXB,LHR,False,,78
BAG00053,ATL,ORD,False,,38
BAG00054,ATL,LHR,False,,59
BAG00055,LAX,JFK,False,,76
BAG00056,JFK,ORD,False,,113
BAG00057,LAX,ATL,False,,35
BAG00058,LAX,JFK,False,,21
BAG00059,JFK,LHR,False,,51
BAG00060,ORD,JFK,False,,38
BAG00061,ORD,LHR,False,,52
BAG00062,ATL,ORD,False,,55
BAG00063,DXB,ATL,False,,108
BAG00064,ORD,JFK,True,Loading,101
BAG00065,LAX,ATL,False,,60
BAG00066,ATL,JFK,True,Loading,40
BAG00067,ATL,ORD,False,,52
BAG00068,ATL,ORD,False,,41
BAG00069,DXB,LHR,False,,27
BAG00070,ORD,ATL,False,,49
BAG00071,JFK,LHR,False,,116
BAG00072,LHR,ATL,False,,38
BAG00073,ATL,ORD,False,,36
BAG00074,ATL,LHR,False,,65
BAG00075,LHR,ORD,False,,56
BAG00076,LHR,JFK,False,,114
BAG00077,ORD,LHR,False,,82
BAG00078,LHR,DXB,False,,52
BAG00079,ORD,LAX,False,,114
